α,β,L1,L2,L3
21.59067,-32.715412,22.666667,-20.571209,-2.095458
-36.797491,62.682797,-34.666667,38.69592,-4.029253
-153.999152,-103.911721,28,-65.963048,37.963048
-57.158126,-11.104054,-29.333333,-6.69592,36.029253
51.049614,-19.361396,33.333333,-7.428791,-25.904542
27.947025,80.24241,-24,51.26097,-27.26097
72.535276,-85.935741,38.666667,-53.397998,14.731332
-23.860411,9.635204,-18.666667,5.86913,12.797537
83.850409,23.532866,44,5.136259,-49.136259
-85.963547,-85.588619,-13.333333,-39.52271,52.856043
77.711839,-80.545666,49.333333,-40.255581,-9.077752
85.936705,87.805907,-5.333333,-15.809084,21.142417
57.92878,7.193526,57.333333,-16.541955,-40.791378
6.240373,-3.613575,0,42.725173,-42.725173
52.933978,-68.347268,-57.333333,-1.933795,59.267129
-82.676209,-87.885479,5.333333,-2.666667,-2.666667
-87.016943,74.188139,-52,56.600462,-4.600462
42.211904,21.034186,10.666667,-48.635874,37.969207
11.844878,-55.957175,-46.666667,10.631255,36.035412
14.961789,-62.074085,16,9.898383,-25.898383
-57.190744,50.713779,-41.333333,69.165512,-27.832179
84.65948,80.641323,21.333333,-35.493457,14.160123
84.714509,79.011519,-36,23.196305,12.803695
48.603625,-47.217669,26.666667,22.463433,-49.1301
-25.823722,64.624029,-30.666667,-22.195535,52.862202
-12.778288,59.520784,32,-22.928406,-9.071594
-51.668413,-23.303558,-25.333333,36.338722,-11.005389
77.244029,-45.548331,37.333333,-68.897614,31.56428
88.905699,89.764998,-20,-9.630485,29.630485
-52.925591,70.129718,42.666667,-10.363356,-32.30331
-13.818619,5.607145,-14.666667,48.903772,-34.237105
-71.506381,-13.193951,48,-55.755196,7.755196
-89.14659,-89.436611,-9.333333,3.511932,5.821401
-63.557181,62.529868,53.333333,2.201694,-55.535027
19.498239,28.077206,-4,-42.457275,46.457275
17.203982,-41.611019,58.666667,-43.190146,-15.47652
-20.337431,-52.613467,1.333333,16.076982,-17.410316
-86.578392,84.730691,-55.333333,75.010778,-19.677444
67.989283,67.448824,7.333333,-30.225558,22.892225
64.532708,31.959076,-50,29.04157,20.95843
20.245877,-29.71375,12.666667,28.308699,-40.975366
-72.133156,80.519752,-44.666667,-16.350269,61.016936
12.923882,70.104143,18,-17.083141,-0.916859
-73.619876,-20.429173,-39.333333,42.183988,-2.850654
53.45715,-11.249693,23.333333,-63.052348,39.719015
17.772114,-82.752238,-34,-3.785219,37.785219
89.164311,-89.78594,28.666667,-4.518091,-24.148576
-38.353331,17.030157,-28.666667,54.749038,-26.082371
87.231385,75.88241,34,-49.909931,15.909931
79.191226,78.004359,-23.333333,8.779831,14.553503
83.021683,-84.145768,39.333333,8.046959,-47.380293
-3.834334,37.278433,-18,-36.612009,54.612009
-53.012097,-27.481335,44.666667,-37.344881,-7.321786
-46.025356,-48.214576,-12.666667,21.922248,-9.255581
-80.913331,71.660512,50,20.612009,-70.612009
